Username,Name,Followers,Following,Investor Score,Can DM,Reason,URL
b2wicey,𝐁𝐫𝐚𝐝,1327,75,85,True,"Authentic human with personal name 'Brad', specific focus on $TSLA investing and Tesla news, high follower count and tweet volume indicate active engagement, suitable for DM as a peer investor in relevant topics.",https://x.com/b2wicey
usmanyaseen,Usman Yaseen,1074,727,85,True,"Authentic human with unique bio focusing on markets, stocks, macro, geopolitics, and theology, indicating genuine interests and expertise. High investor signal due to keywords like #Markets and #Stocks, suggesting potential as a peer or investor in financial/tech domains. Suitable for DM as a professional contact.",https://x.com/usmanyaseen
BiblioInversor,Biblio Inversor,964,366,85,True,"Authentic human profile with unique bio focused on investment analysis ('Inversor | Analizo empresas y te las cuento'), includes personal engagement ('Tesis completas en mi DM'), high tweet count (8005) indicates active user, suitable for DM as a professional peer in investing.",https://x.com/BiblioInversor
MateoVanhorn,HodlonautMateo,929,1454,85,True,"Authentic human with unique bio referencing specific projects (Protonic Nickelate, Grok Imagine, Macrohard/Digital Optimus, Tesla AI/xAI) and personal touch (War Eagle, emojis). Strong investor/alpha signals from tech/crypto/AI keywords (Tesla, xAI, scaling, collaborations) and entrepreneurial tone, suitable for DM engagement.",https://x.com/MateoVanhorn
dishah81,Divyesh,923,232,85,True,"Authentic human with unique personal details (Divyesh), specific interests in tech stocks, Tesla, options, and robotics. Strong investor signals with keywords like 'Tech Stock Investor', 'Tesla Bull', and 'Stock market Bull'. High tweet count (8677) indicates active engagement, and bio explicitly states no crypto/forex, adding credibility. Suitable for DM as a professional peer in investing.",https://x.com/dishah81
CyberTruck_Mike,Mike ⚔️🦅,851,574,85,True,"Authentic human with personal details (CyberTruck owner, $TSLA holder, options trader), strong investor signals in bio (Tesla-related, trading), and suitable for DM as a peer investor.",https://x.com/CyberTruck_Mike
ricmrodrigues,Ricardo Rodrigues,836,1113,85,True,"Authentic human with personal name, unique bio (Albert Einstein quote), specific mention of Tesla investor, high tweet count indicating active engagement, and clear investor signal suitable for DM outreach.",https://x.com/ricmrodrigues
Raghavdiv,Raghav Reddy,827,1311,85,True,"Authentic human with personal interests in Tesla, SpaceX, and specific investments (TSLA, Rocket lab, Nvidia). Bio includes unique details like Tesla ownership and referral links, indicating genuine engagement. High investor signal from keywords like 'investor' and focus on tech/equity, suitable for DM from a professional peer.",https://x.com/Raghavdiv
onanitbranding,Onanit,812,160,85,True,"Bio includes 'Entrepreneur | Investor' with personal touch ('Proud American'), indicating authenticity and strong investor/alpha signals. High tweet count suggests active engagement, suitable for DM from a professional peer.",https://x.com/onanitbranding
xsaltwedgex,🤖🙌 Teslageschwindigkeit 🙌🤖,794,184,85,True,"Authentic human with unique bio focused on $TSLA investment strategy, clear long-term commitment, and specific interests in electric vehicles and batteries. High investor signal due to explicit mention of $TSLA and investment behavior, suitable for DM from a professional peer.",https://x.com/xsaltwedgex
JuleskwWhite,Jules 🚗🔌🐈‍⬛❤️,720,566,85,True,"Authentic human with personal details (wife, stepmom, diver, travel enthusiast), clear investor signal via '@Tesla investor & owner' and support for Elon, suitable for DM as a peer investor.",https://x.com/JuleskwWhite
steph_rueff,Stéphane Rueff,682,1477,85,True,"Authentic human with a unique name and bio focused on long-term value investing, indicating genuine investor intent and suitability for professional DM engagement.",https://x.com/steph_rueff
Henrik_SD,Henrik ♻️,654,638,85,True,"Authentic human profile with unique personal details (name Henrik, specific interests in Tesla/SpaceX/Elon Musk/Crypto), strong investor signals (Entrepreneur and investor, ambassador roles), and high DM suitability as a peer for potential professional engagement.",https://x.com/Henrik_SD
markgarlow,Mark Garlow,550,408,85,True,"Authentic human with personal interests (golf, fishing) and clear investor signal ($TSLA investor, owner). Suitable for DM as a peer investor.",https://x.com/markgarlow
techprimitives,Sandy,511,315,85,True,"Bio includes personal details ('truth seeker', 'employee turned entrepreneur turned builder'), specific interests ('batman🦇'), and strong investor signals ('investor', 'entrepreneur', 'builder'). Follower stats and tweet count suggest authentic activity, not bot-like patterns.",https://x.com/techprimitives
DarkStoneCap,Dark Stone Capital,509,119,85,True,"Authentic human profile with specific investment focus on AI-driven strategies and stocks like $TSLA, $NVDA, $RIVN, indicating high investor/alpha signal; suitable for DM as a professional peer in finance/tech.",https://x.com/DarkStoneCap
gilles_bogaert,Gilles Bogaert,487,372,85,True,"Authentic human with unique bio containing personal details (polytechnic, STEM, BSC, MSc^2, MBA) and specific interests (AI, ML, NLP/NLU). Strong investor signals from keywords like 'investor', 'fundamental', 'conviction', and educational/professional credentials. High tweet count (14258) indicates active engagement, suitable for DM from a professional peer.",https://x.com/gilles_bogaert
alvsnarv,Al not ai,472,142,85,True,"Authentic human with personal Tesla ownership details (Model Y, Cybertruck), long-term investment signal ('TSLA bagholder since '17'), high tweet volume suggests active user, bio includes investor-relevant keywords (TSLA, HODLing) and specific interests, suitable for DM as a peer in Tesla/EV community.",https://x.com/alvsnarv
